"Designator";"Footprint";"Quantity";"Comment"
"C20,C19";"CP_Elec_6.3x5.8";2;"10uF"
"U1";"PQFP-44_10x10mm_Pitch0.8mm";1;"TMC2660"
"J3";"2x3_SPI_header";1;"header6"
"C1";"0603";1;"470nF"
"C3,C16,C6";"0603";3;"100nF"
"C8,C17";"0603";2;"10nF"
"J2";"PIN5";1;"header5"
"C12,C7";"0603";2;"10uF"
"R5,R6";"0603";2;"100m"
"R7,R8";"0603";2;"10R"
