Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Aux","IDC-Header_2x05_P2.54mm_Vertical",-2.265966,-18.976900,90.000000,bottom
"J2","Motors","IDC-Header_2x05_P2.54mm_Vertical",-2.265966,4.923100,90.000000,bottom
